County,Year,Population,Normalized Population
Ventura County,2015,845802,0.8646176974151203
Ventura County,2016,847323,0.9281329602873001
Ventura County,2017,849044,1.0
Ventura County,2018,848142,0.9623334864492392
Ventura County,2019,846006,0.8731365097924524
Ventura County,2020,843310,0.7605545579822106
Ventura County,2021,839358,0.5955234476134734
Ventura County,2022,832605,0.31352570259322476
Imperial County,2010,174716,0.0
Imperial County,2011,175786,0.15433434299725945
Imperial County,2012,176575,0.26813789124476983
Imperial County,2013,176438,0.24837732583297267
Imperial County,2014,177974,0.4699264387710933
Imperial County,2015,178937,0.6088273474686297
Imperial County,2016,180179,0.7879705755084387
Imperial County,2017,181649,1.0
Imperial County,2018,181523,0.9818260493292961
Imperial County,2019,181215,0.9374008365786821
Imperial County,2020,179595,0.7037357565267577
Imperial County,2021,179215,0.6489254291071695
Imperial County,2022,178713,0.5765181018318195
San Luis Obispo County,2010,269802,0.0
San Luis Obispo County,2011,271058,0.09268004722550316
San Luis Obispo County,2012,274160,0.3215761511216044
San Luis Obispo County,2013,275696,0.43491735537190124
San Luis Obispo County,2014,278227,0.6216794569067297
San Luis Obispo County,2015,280077,0.7581906729634014
San Luis Obispo County,2016,281803,0.8855519480519476
San Luis Obispo County,2017,282481,0.9355814639905553
San Luis Obispo County,2018,283354,1.0
San Luis Obispo County,2019,283111,0.9820690672963401
San Luis Obispo County,2020,281879,0.8911599763872502
San Luis Obispo County,2021,279298,0.7007083825265639
San Luis Obispo County,2022,282013,0.9010478158205437
Kern County,2010,840996,0.0
Kern County,2011,847970,0.0928480136329739
Kern County,2012,853606,0.1678826286079449
Kern County,2013,862000,0.27963574395569246
Kern County,2014,869176,0.3751730748748532
Kern County,2015,876031,0.4664367877303217
Kern County,2016,880856,0.5306741932048133
Kern County,2017,887356,0.6172116306315907
Kern County,2018,893758,0.7024443497710084
Kern County,2019,900202,0.7882362338907232
Kern County,2020,905828,0.8631377143465748
Kern County,2021,912351,0.9499813611673229
Kern County,2022,916108,1.0
